,status,totalResults,source,author,title,description,url,urlToImage,publishedAt,content
0,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Epic accuses Apple of 'delaying' key U.S. appeals court hearing - Reuters.com,"Video game maker Epic Games Inc on Wednesday accused Apple Inc of ""needlessly delaying"" a pivotal hearing in an antitrust clash in the 9th U.S. Circuit Court of Appeals over key App Store policies.",https://www.reuters.com/legal/litigation/epic-accuses-apple-delaying-key-us-appeals-court-hearing-2022-06-30/,https://www.reuters.com/resizer/Wn4SAt2CidfgP0VNyXj_RHjaQ3M=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DJGBXLWDDZMYLOY2SFFHOFLLXM.jpg,2022-06-30T16:22:00Z,"<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
(Reuters) - Video game maker Epic Games Inc on Wednesday accused Apple Inc of ""needlessly delaying"" a pivotal hearing in a… [+2861 chars]"
1,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Apple fights NFL Sunday Ticket plaintiffs over antitrust subpoena - Reuters.com,"Apple Inc is fighting to shield its commercial information in a dustup in California federal court, as plaintiffs' lawyers seek to pry information from the company in their antitrust case involving the National Football League's ""Sunday Ticket"" programming pa…",https://www.reuters.com/legal/transactional/apple-fights-nfl-sunday-ticket-plaintiffs-over-antitrust-subpoena-2022-06-14/,https://www.reuters.com/resizer/KT5PL4ZydiQlop37YeBruz8QAuU=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QSJLNFKTI5LF7CT6EWNNGWSQKM.jpg,2022-06-14T18:03:00Z,"(Reuters) - Apple Inc is fighting to shield its commercial information in a dustup in California federal court, as plaintiffs' lawyers seek to pry information from the company in their antitrust case… [+2842 chars]"
2,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Apple store workers in Maryland form first US union - Reuters.com,"19/06 Apple Inc AAPL.O workers in Maryland voted on Saturday to join a union, becoming the first retail employees of the tech giant to unionize in the United States.",https://www.reuters.com/video/watch/idsKTY?now=true,https://ajo.prod.reuters.tv/api/v2/img/62aed122e4b085d396fd80a0-1655623969774?location=LANDSCAPE,2022-06-19T08:17:31Z,"Posted 
19/06 Apple Inc AAPL.O workers in Maryland voted on Saturday to join a union, becoming the first retail employees of the tech giant to unionize in the United States."
3,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,"Enjoy Technology, led by ex-Apple and JC Penney executive Johnson, files bankruptcy - Reuters.com","Enjoy Technology Inc <a href=""https://www.reuters.com/companies/ENJY.O"" target=""_blank"">(ENJY.O)</a>, a Silicon Valley retailer led by former Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> and JC Penney Co executive …",https://www.reuters.com/technology/enjoy-technology-led-by-ex-apple-jc-penney-executive-johnson-files-bankruptcy-2022-06-30/,https://www.reuters.com/resizer/OJYKRXTcuzrRcCNbpkgbiaBSQRM=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/6VPSFI6OX5MRNM2NE2EQG5G6NU.jpg,2022-06-30T18:08:00Z,"June 30 (Reuters) - Enjoy Technology Inc (ENJY.O), a Silicon Valley retailer led by former Apple Inc (AAPL.O) and JC Penney Co executive Ron Johnson, filed for bankruptcy protection on Thursday, fewe… [+1946 chars]"
4,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Adobe revamps metaverse design tools for Apple's chips - Reuters.com,"Adobe Inc <a href=""https://www.reuters.com/companies/ADBE.O"" target=""_blank"">(ADBE.O)</a> on Tuesday said it has reworked several of its tools for creating three-dimensional content to make them work well on Apple Inc <a href=""https://www.reuters.com/companie…",https://www.reuters.com/technology/adobe-revamps-metaverse-design-tools-apples-chips-2022-06-14/,https://www.reuters.com/resizer/BUiuAcEADOE8GVDvthyQWgmWLxU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/B2EFMAUMFFN4PI6EYMLJHSZ5SA.jpg,2022-06-14T13:02:00Z,June 14 (Reuters) - Adobe Inc (ADBE.O) on Tuesday said it has reworked several of its tools for creating three-dimensional content to make them work well on Apple Inc (AAPL.O) computers that use the … [+2027 chars]
5,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Apple will not challenge Maryland store unionization vote - Reuters.com,"Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> will not challenge the results of a vote by workers at its Towson, Maryland, store to unionize and intends to participate in the bargaining process in good faith, a pers…",https://www.reuters.com/business/apple-will-not-challenge-maryland-store-unionization-vote-2022-06-24/,https://www.reuters.com/resizer/ilnorZJKT72prTCfWai_Uf9YZII=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QEPRBREUSRLG3PLVLXDP7I3YAY.jpg,2022-06-24T20:41:00Z,"June 24 (Reuters) - Apple Inc (AAPL.O) will not challenge the results of a vote by workers at its Towson, Maryland, store to unionize and intends to participate in the bargaining process in good fait… [+1089 chars]"
6,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Apple eyes gas purchases from car dashboard - Reuters.com,"Apple Inc wants you to start buying gas directly from your car dashboard as early as this fall, when the newest version of its CarPlay software rolls out, accelerating the company's push to turn your vehicle into a store for goods and services. This report pr…",https://www.reuters.com/video/watch/idsKP9?now=true,https://ajo.prod.reuters.tv/api/v2/img/62bdd3f8e4b09631b0e4a1e6-1656607735658?location=LANDSCAPE,2022-06-30T18:23:57Z,"Posted 
Apple Inc wants you to start buying gas directly from your car dashboard as early as this fall, when the newest version of its CarPlay software rolls out, accelerating the company's push to … [+91 chars]"
7,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,"Apple defeats class action over Meltdown, Spectre security flaws - Reuters","A U.S. judge on Wednesday dismissed a proposed class-action lawsuit accusing Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> of defrauding customers by selling iPhones and iPads whose processors proved vulnerable to t…",https://www.reuters.com/technology/apple-defeats-class-action-over-meltdown-spectre-security-flaws-2022-06-08/,https://www.reuters.com/resizer/hef1Eupjt9Sd8S0CYiGNjZH7vVs=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/JLZILTTL3ZODXFJUKIAFAA7VEA.jpg,2022-06-08T22:19:00Z,June 8 (Reuters) - A U.S. judge on Wednesday dismissed a proposed class-action lawsuit accusing Apple Inc (AAPL.O) of defrauding customers by selling iPhones and iPads whose processors proved vulnera… [+2093 chars]
8,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,"Apple workers at Maryland store vote to unionize, a first for the U.S. - Reuters","Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> workers in Maryland voted on Saturday to join a union, becoming the first retail employees of the tech giant to unionize in the United States.",https://www.reuters.com/markets/us/apple-workers-maryland-store-vote-unionize-first-us-2022-06-19/,https://www.reuters.com/resizer/4ujy9x8pi1dAsKOHYNE8w-ftyZg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OE4KSQPUABKUPMGHJSVGXHLEBQ.jpg,2022-06-19T02:27:00Z,"June 18 (Reuters) - Apple Inc (AAPL.O) workers in Maryland voted on Saturday to join a union, becoming the first retail employees of the tech giant to unionize in the United States.
More than 100 wo… [+1207 chars]"
9,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Apple hikes Japan price of iPhone by nearly a fifth - Reuters,"Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> has hiked by nearly a fifth the cost of its flagship iPhone phone in Japan, which is battling a weakening yen currency and rising inflation.",https://www.reuters.com/technology/apple-hikes-japan-price-iphone-by-nearly-fifth-2022-07-01/,https://www.reuters.com/resizer/v14nJr9zJMJ5bVDX6Lbwrr7uw_8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NYU7OCCRSZJEFC2IA5ZAKMMECM.jpg,2022-07-01T04:30:00Z,"TOKYO, July 1 (Reuters) - Apple Inc (AAPL.O) has hiked by nearly a fifth the cost of its flagship iPhone phone in Japan, which is battling a weakening yen currency and rising inflation.
The Cupertin… [+763 chars]"
10,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,U.S. Supreme Court won't hear Apple's bid to revive Qualcomm patent challenges - Reuters.com,"The U.S. Supreme Court on Monday declined to hear Apple Inc's <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> bid to revive an effort to cancel two Qualcomm Inc <a href=""https://www.reuters.com/companies/QCOM.O"" target=""_blank""…",https://www.reuters.com/business/us-supreme-court-wont-hear-apples-bid-revive-qualcomm-patent-challenges-2022-06-27/,https://www.reuters.com/resizer/YSm0VSyPO4XyzjscDeEUM-KQoBU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/X7UDHCYNRVLM7JQ33ATLIA3VDA.jpg,2022-06-27T13:49:00Z,"WASHINGTON, June 27 (Reuters) - The U.S. Supreme Court on Monday declined to hear Apple Inc's (AAPL.O) bid to revive an effort to cancel two Qualcomm Inc (QCOM.O) smartphone patents despite the globa… [+2154 chars]"
11,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Dutch watchdog says Apple to offer other payment methods in dating apps - Reuters,"The Netherlands' antitrust watchdog on Saturday said Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> will allow different payment methods in Dutch dating applications, ending a dispute that resulted in the company bei…",https://www.reuters.com/technology/dutch-watchdog-says-apple-offer-other-payment-methods-dating-apps-2022-06-11/,https://www.reuters.com/resizer/GszRdyQbioTPnr-rZU6NYFDXZow=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/JFVFZXPSHFISFJOITVBA2Y6ILU.jpg,2022-06-11T13:58:00Z,"June 11 (Reuters) - The Netherlands' antitrust watchdog on Saturday said Apple Inc (AAPL.O) will allow different payment methods in Dutch dating applications, ending a dispute that resulted in the co… [+1655 chars]"
12,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Apple to release new 'Lockdown Mode' as it battles spyware firms - Reuters,"Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> on Wednesday said it plans to release a new feature called ""Lockdown Mode"" this fall that aims to add a new layer of protection for human rights advocates, political dis…",https://www.reuters.com/technology/apple-release-new-lockdown-mode-it-battles-spyware-firms-2022-07-06/,https://www.reuters.com/resizer/BVI74dwhuOOThYRt19WmX_73Fyc=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OWZJ6RBQ7ZIGLADQATLXJGFT5Q.jpg,2022-07-06T17:07:00Z,"July 6 (Reuters) - Apple Inc (AAPL.O) on Wednesday said it plans to release a new feature called ""Lockdown Mode"" this fall that aims to add a new layer of protection for human rights advocates, polit… [+2133 chars]"
13,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Analysis: Apple's next frontier is your car's dashboard - Reuters,"Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> wants to power the dashboard of your next car, but first it must convince automakers they will not end up surrendering future profits to the iPhone company like the make…",https://www.reuters.com/technology/apples-next-frontier-is-your-cars-dashboard-2022-06-07/,https://www.reuters.com/resizer/7wLLSx3o4Lgqz44qLehTo-dRPoo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/JSQ2R2ABARNAXNH2X3SNVYA2BI.jpg,2022-06-07T17:48:00Z,"June 7 (Reuters) - Apple Inc (AAPL.O) wants to power the dashboard of your next car, but first it must convince automakers they will not end up surrendering future profits to the iPhone company like … [+5746 chars]"
14,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,Apple eyes fuel purchases from dashboard as it revs up car software - Reuters,"Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> wants you to start buying gas directly from your car dashboard as early as this fall, when the newest version of its CarPlay software rolls out, accelerating the company…",https://www.reuters.com/business/autos-transportation/apple-eyes-fuel-purchases-dashboard-it-revs-up-car-software-2022-06-30/,https://www.reuters.com/resizer/qBxnnsIEK0H3LM0CpPbgxt1opa4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/5GJEOOKKFFKP7BCCVAKHAAYJAM.jpg,2022-06-30T11:06:00Z,"June 30 (Reuters) - Apple Inc (AAPL.O) wants you to start buying gas directly from your car dashboard as early as this fall, when the newest version of its CarPlay software rolls out, accelerating th… [+4142 chars]"
15,ok,1902,"{'id': 'reuters', 'name': 'Reuters'}",,"Apple and Android phones hacked by Italian spyware, Google says - Reuters","An Italian company's hacking tools were used to spy on Apple Inc<a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> and Android smartphones in Italy and Kazakhstan, Alphabet Inc's<a href=""https://www.reuters.com/companies/GOOGL.O"" …",https://www.reuters.com/technology/apple-android-phones-hacked-by-italian-spyware-google-says-2022-06-23/,https://www.reuters.com/resizer/5_hmEI3sC8LXX938izIEVCVQoFg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NZN4HNB2IBM3TPQMIAH3VGEATE.jpg,2022-06-23T16:04:00Z,"SAN FRANCISCO, June 23 (Reuters) - An Italian company's hacking tools were used to spy on Apple Inc(AAPL.O) and Android smartphones in Italy and Kazakhstan, Alphabet Inc's(GOOGL.O) Google said in a r… [+2963 chars]"
