Title,Description,Content,Rating
Epic accuses Apple of 'delaying' key U.S. appeals court hearing - Reuters.com,"Video game maker Epic Games Inc on Wednesday accused Apple Inc of ""needlessly delaying"" a pivotal hearing in an antitrust clash in the 9th U.S. Circuit Court of Appeals over key App Store policies.","<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
(Reuters) - Video game maker Epic Games Inc on Wednesday accused Apple Inc of ""needlessly delaying"" a pivotal hearing in a… [+2861 chars]","{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}"
Apple fights NFL Sunday Ticket plaintiffs over antitrust subpoena - Reuters.com,"Apple Inc is fighting to shield its commercial information in a dustup in California federal court, as plaintiffs' lawyers seek to pry information from the company in their antitrust case involving the National Football League's ""Sunday Ticket"" programming pa…","(Reuters) - Apple Inc is fighting to shield its commercial information in a dustup in California federal court, as plaintiffs' lawyers seek to pry information from the company in their antitrust case… [+2842 chars]","{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}"
Apple store workers in Maryland form first US union - Reuters.com,"19/06 Apple Inc AAPL.O workers in Maryland voted on Saturday to join a union, becoming the first retail employees of the tech giant to unionize in the United States.","Posted 
19/06 Apple Inc AAPL.O workers in Maryland voted on Saturday to join a union, becoming the first retail employees of the tech giant to unionize in the United States.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Enjoy Technology, led by ex-Apple and JC Penney executive Johnson, files bankruptcy - Reuters.com","Enjoy Technology Inc <a href=""https://www.reuters.com/companies/ENJY.O"" target=""_blank"">(ENJY.O)</a>, a Silicon Valley retailer led by former Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> and JC Penney Co executive …","June 30 (Reuters) - Enjoy Technology Inc (ENJY.O), a Silicon Valley retailer led by former Apple Inc (AAPL.O) and JC Penney Co executive Ron Johnson, filed for bankruptcy protection on Thursday, fewe… [+1946 chars]","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}"
Adobe revamps metaverse design tools for Apple's chips - Reuters.com,"Adobe Inc <a href=""https://www.reuters.com/companies/ADBE.O"" target=""_blank"">(ADBE.O)</a> on Tuesday said it has reworked several of its tools for creating three-dimensional content to make them work well on Apple Inc <a href=""https://www.reuters.com/companie…",June 14 (Reuters) - Adobe Inc (ADBE.O) on Tuesday said it has reworked several of its tools for creating three-dimensional content to make them work well on Apple Inc (AAPL.O) computers that use the … [+2027 chars],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Apple will not challenge Maryland store unionization vote - Reuters.com,"Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> will not challenge the results of a vote by workers at its Towson, Maryland, store to unionize and intends to participate in the bargaining process in good faith, a pers…","June 24 (Reuters) - Apple Inc (AAPL.O) will not challenge the results of a vote by workers at its Towson, Maryland, store to unionize and intends to participate in the bargaining process in good fait… [+1089 chars]","{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.0572}"
Apple eyes gas purchases from car dashboard - Reuters.com,"Apple Inc wants you to start buying gas directly from your car dashboard as early as this fall, when the newest version of its CarPlay software rolls out, accelerating the company's push to turn your vehicle into a store for goods and services. This report pr…","Posted 
Apple Inc wants you to start buying gas directly from your car dashboard as early as this fall, when the newest version of its CarPlay software rolls out, accelerating the company's push to … [+91 chars]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Apple defeats class action over Meltdown, Spectre security flaws - Reuters","A U.S. judge on Wednesday dismissed a proposed class-action lawsuit accusing Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> of defrauding customers by selling iPhones and iPads whose processors proved vulnerable to t…",June 8 (Reuters) - A U.S. judge on Wednesday dismissed a proposed class-action lawsuit accusing Apple Inc (AAPL.O) of defrauding customers by selling iPhones and iPads whose processors proved vulnera… [+2093 chars],"{'neg': 0.168, 'neu': 0.657, 'pos': 0.175, 'compound': 0.0258}"
"Apple workers at Maryland store vote to unionize, a first for the U.S. - Reuters","Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> workers in Maryland voted on Saturday to join a union, becoming the first retail employees of the tech giant to unionize in the United States.","June 18 (Reuters) - Apple Inc (AAPL.O) workers in Maryland voted on Saturday to join a union, becoming the first retail employees of the tech giant to unionize in the United States.
More than 100 wo… [+1207 chars]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Apple hikes Japan price of iPhone by nearly a fifth - Reuters,"Apple Inc <a href=""https://www.reuters.com/companies/AAPL.O"" target=""_blank"">(AAPL.O)</a> has hiked by nearly a fifth the cost of its flagship iPhone phone in Japan, which is battling a weakening yen currency and rising inflation.","TOKYO, July 1 (Reuters) - Apple Inc (AAPL.O) has hiked by nearly a fifth the cost of its flagship iPhone phone in Japan, which is battling a weakening yen currency and rising inflation.
The Cupertin… [+763 chars]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
