Date,AAPL,JLL,XOM
07/01/2022,71051550,305767,26327860
06/30/2022,98964470,675012,39948070
06/29/2022,66242410,295287,25400940
06/28/2022,67315330,327532,33123000
06/27/2022,70207910,299118,25478680
06/24/2022,89116840,432961,26638990
06/23/2022,72433770,483854,35757210
06/22/2022,73409230,456961,29769630
06/21/2022,81000490,643332,35951460
06/17/2022,134520300,1310050,64610190
06/16/2022,107961500,495501,35696750
06/15/2022,91532970,735453,29620780
06/14/2022,84784330,450845,31264020
06/13/2022,122207100,555090,33421050
06/10/2022,91566640,334366,30958350
06/09/2022,69472980,286480,26634340
06/08/2022,53950200,320335,31613160
06/07/2022,67808150,325385,37810230
06/06/2022,71598380,392198,20682050
