,ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
0,WCN.TO,-25.0,0.0,1,"Waste Connections, Inc.",159.6,-1.1399994,-0.007092194600000001,359947,41075933184,165567.0,160.74
1,IMG.TO,-21.476543209876542,0.0,2,IAMGOLD Corporation,2.07,-0.1500001,-0.06756761,963516,986661059,705903.0,2.22
2,ACB.TO,-19.650256410256418,-1.6666666666666607,3,Aurora Cannabis Inc.,1.7,-0.05999994,-0.034090877,1693759,509169465,887198.0,1.76
3,BHC.TO,-16.77875,10.83333333333334,4,Bausch Health Companies Inc.,10.76,-0.21999931,-0.020036368000000002,846567,3887859543,189191.0,10.98
4,CAE.TO,-15.055555555555555,0.0,5,CAE Inc.,31.72,0.5699997,0.018298546,961319,10056192000,1809184.0,31.15
5,SHOP.TO,-14.833736263736263,-0.44547288359787496,6,Shopify Inc.,40.22,-2.369999,-0.055646839999999996,3377581,50776547328,169808.0,42.59
6,FM.TO,-14.503724053724065,3.3333333333333437,7,First Quantum Minerals Ltd.,24.42,-1.5,-0.05787037,3228227,16893340672,2329874.0,25.92
7,CCAC,-12.5,-9.375,8,CITIC Capital Acquisition Corp.,7.05,-0.37,-0.0498652,332867,243225008,332867.0,7.42
8,RIOT,-11.570145716205783,-10.223721380879203,9,"Riot Blockchain, Inc.",4.27,0.03,0.00708,8415215,573875096,10723330.0,4.19
9,CCO.TO,-10.446031746031736,7.527901785714297,10,Cameco Corporation,27.06,-0.9899998,-0.035294110000000004,1553775,10785563363,924732.0,28.05
10,LAC.TO,-9.56541666666666,10.578333333333333,11,Lithium Americas Corp.,25.93,-0.47999954,-0.018174917,675936,3491193343,420006.0,26.41
11,SNC.TO,-9.033333333333326,7.08333333333333,12,SNC-Lavalin Group Inc.,22.14,0.05999947,0.002717367,350621,3886765568,378456.0,22.08
12,T-C,-8.87500000000001,13.79999999999999,13,"AT&T, Inc. - 4.75% PRF PERPETUAL USD 25 - 1/1000th Int Ser C",19.43,0.0,0.0,147641,152246621152,218822.0,19.15
13,WN.TO,-6.000000000000005,-6.774999999999998,14,George Weston Limited,150.37,-1.230011,-0.0081135285,167551,21968906240,118166.0,151.6
14,AC.TO,-5.995654761904767,4.522116402116416,15,Air Canada,16.04,-1.0299988,-0.060339710000000005,6468344,5745388856,3287837.0,17.07
