Date,AAPL,JLL,XOM
07/01/2022,$138.93,$181.17,$87.55
06/30/2022,$136.72,$174.86,$85.64
06/29/2022,$139.23,$176.63,$88.12
06/28/2022,$137.44,$176.86,$91.5
06/27/2022,$141.66,$176.68,$89.03
06/24/2022,$141.66,$175.46,$86.9
06/23/2022,$138.27,$171.45,$85.21
06/22/2022,$135.35,$170.44,$87.86
06/21/2022,$135.87,$169.52,$91.48
06/17/2022,$131.56,$167.02,$86.12
06/16/2022,$130.06,$155.76,$91.39
06/15/2022,$135.43,$166.08,$94.89
06/14/2022,$132.76,$165.3,$96.1
06/13/2022,$131.88,$162.45,$95.85
06/10/2022,$137.13,$172.38,$100.46
06/09/2022,$142.64,$177.96,$102.33
06/08/2022,$147.96,$185.07,$104.59
06/07/2022,$148.71,$190.28,$103.37
06/06/2022,$146.14,$189.1,$98.84
