ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
WBEV,-40,0,-4100,1,"Winc, Inc.",1.44,0,0,7194,19027264,6567,1.49
NAK,28.79642857,-0.721875,-4089.115646,2,Northern Dynasty Minerals Ltd.,0.2612,0.0012,0.00462,2572445,137742641,2315587,0.2533
GTEC,-29.2,0,-3020,3,Greenland Technologies Holding Corporation,4.14,0.01,0.00242,11680,46790959,7421,4.13
WEED.TO,-17.5,0,-1850,4,Canopy Growth Corporation,3.46,-0.06,-0.01705,1675799,1393888722,674268,3.52
LSTR,15.20666667,-1.285714286,-1282.740741,5,"Landstar System, Inc.",145.32,0,0,281643,5395344032,246879,144.09
IMMR,-31.5625,3.085714286,-1122.858796,6,Immersion Corporation,5.45,-0.02,-0.00366,122345,183868870,120408,5.4
VIAC,50.75757576,-6.666666667,-861.3636364,7,Paramount Global,29.58,-6.4100018,-0.17810507,87513978,19288940544,13495153,35.99
RY.TO,-7.14,0,-814,8,Royal Bank of Canada,125.52,0.65,0.00521,1394339,1.7873E+11,5516343,124.87
WERN,40,-5.84,-784.9315068,9,"Werner Enterprises, Inc.",38.75,0,0,593306,2520988316,551210,38.9
SF,3.412820513,-0.666666667,-611.9230769,10,Stifel Financial Corp.,55.19,0,0,1266452,5881979221,554378,56.4
K.TO,-4.733333333,0,-573.3333333,11,Kinross Gold Corporation,4.35,-0.01,-0.00229,3344222,5654481332,2614177,4.36
AHI,18.18333333,-4.158333333,-537.2745491,12,Advanced Human Imaging Limited,0.598,0.018,0.03103,43873,13816377,46628,0.58
PACE,17.5,-4.166666667,-520,13,TPG Pace Tech Opportunities Corp.,11.2,0,0,1046135,520200000,1577332,11.2
COCP,5.592708333,-1.65,-438.9520202,14,"Cocrystal Pharma, Inc.",0.406,0.0059,0.01475,87971,38997347,68060,0.395
PLAG,22.575,-6.666666667,-438.625,15,Planet Green Holdings Corp.,0.7712,0,0,791,38623184,20258,0.8
AGQ,-5.075520833,1.519722222,-433.9768781,16,ProShares Ultra Silver,21.92,-0.01,-0.00046,899147,314619403,1795092,21.94
MTEX,24.05,-7.3,-429.4520548,17,"Mannatech, Incorporated",16.78,-0.09000015,-0.005334923,2131,32716302,4847,16.87
ISPO,23.5,-8.7375,-368.9556509,18,Inspirato Incorporated,4.81,0.09,0.01907,162510,247529327,128019,4.79
BHIL,8.939393939,-4.525,-297.5556672,19,"Benson Hill, Inc.",3.01,0,0,1218471,617633952,1968861,2.88
PPD,-1.666666667,0,-266.6666667,20,"PPD, Inc.",47.28,0,0,1868187,16613955584,1542162,47.28
AAV.TO,-1.483333333,0,-248.3333333,21,Advantage Energy Ltd.,7.635,-0.405,-0.05037,1194324,1446334499,336947,8.04
CVNA,9.967798632,-7.33253554,-235.9393156,22,Carvana Co.,26.37,0.07,0.00266,12873351,1230840000,19820527,27.58
CNQ.TO,-2.263412698,2.222222222,-201.8535714,23,Canadian Natural Resources Limited,62.95,-3.95,-0.05904,6295494,72398409620,3111762,66.9
ARRY,-7.5,9.552380952,-178.5144566,24,"Array Technologies, Inc.",10.8,-0.1,-0.00917,1938616,1636909560,2512131,11.15
NUZE,-0.625,0,-162.5,25,"NuZee, Inc.",0.94,-0.06,-0.06,72119,18293471,25245,1
MRAI,20.775,-40,-151.9375,26,"Marpai, Inc.",0.98,0.04,0.04255,19167,19893714,45749,0.94
