ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
YANG,6.666666666666665,0.11111111111110628,5900.00000000026,1,Direxion Daily FTSE China Bear 3X Shares,11.61,0.1,0.00869,12324968,152246649,4496840.0,11.05
LKNCY,5.094444444444446,0.11277777777778386,4417.241379310102,2,Luckin Coffee Inc.,13.63,0.5100002,0.03887197,2019120,3613163008,754074.0,13.12
CGEN,41.599999999999994,0.0,4059.9999999999995,3,Compugen Ltd.,2.11,0.0,0.0,606291,182374542,705017.0,2.11
CCO.TO,40.649999999999984,0.0,3964.9999999999986,4,Cameco Corporation,27.24,-0.14,-0.00511,1286840,10853296860,924732.0,27.38
USEG,40.44166666666666,0.0,3944.166666666666,5,U.S. Energy Corp.,3.38,-0.04,-0.0117,52261,87818333,125856.0,3.35
JP,39.99999999999999,0.0,3899.999999999999,6,Jupai Holdings Limited,0.38,0.0,0.0,78240,12100012,102654.0,0.4
ELEV,39.99999999999999,0.0,3899.999999999999,7,Elevation Oncology Inc,1.42,0.03,0.02158,120953,33020632,84340.0,1.39
ACH,58.14999999999999,1.6351198257080757,3456.3142887597605,8,Aluminum Corporation of China Limited,9.4,0.0,0.0,80051,1482931207,93077.0,9.34
WSBC,31.458333333333343,0.0,3045.8333333333344,9,"WesBanco, Inc.",31.77,-0.22999954,-0.0071874857,122033,1914917760,174843.0,32.0
BREZ,29.999999999999982,0.0,2899.999999999998,10,Breeze Holdings Acquisition Corp.,10.33,0.07,0.00682,939,81125953,8950.0,10.28
TRT,28.942857142857136,0.0,2794.2857142857138,11,Trio-Tech International,4.25,0.0,0.0,6361,16784015,4724.0,4.26
IMG.TO,25.624999999999986,0.0,2462.4999999999986,12,IAMGOLD Corporation,1.87,-0.04,-0.02094,1355654,895658340,705903.0,1.91
STZ,8.570076388888893,0.3374527071102529,2439.6377650302475,13,"Constellation Brands, Inc.",239.44,0.0,0.0,1070511,45100859498,1326524.0,236.71
ALLR,-40.0,-1.6666666666666718,2299.9999999999927,14,Allarity Therapeutics Inc,1.26,0.04,0.03279,51106,11696952,64309.0,1.22
DWAC,3.514542846417834,0.1482512077294551,2270.6672614981685,15,Digital World Acquisition Corp.,23.7,-0.02,-0.00084,578098,712245990,1003846.0,24.02
STEM,14.559999999999995,0.6667154566744715,2083.840175631179,16,Stem Inc - Class A,7.6,0.01,0.00132,2244200,1170471015,2521966.0,7.57
BITF,29.54128109452736,1.42007788161993,1980.2578138058625,17,Bitfarms Ltd.,1.21,0.04,0.03419,2726219,232828471,3342808.0,1.29
T-C,20.700000000000006,0.0,1970.0000000000007,18,"AT&T, Inc. - 4.75% PRF PERPETUAL USD 25 - 1/1000th Int Ser C",19.55,0.0,0.0,205985,150402050069,263390.0,19.7
ESSC,19.999999999999996,0.0,1899.9999999999995,19,East Stone Acquisition Corporation,10.2,-0.01,-0.00098,2902,73116089,26138.0,10.21
ABX.TO,19.999999999999996,0.0,1899.9999999999995,20,Barrick Gold Corporation,22.46,-0.23,-0.01014,3625190,39885731330,1730282.0,22.69
CASH,19.999999999999996,0.0,1899.9999999999995,21,"Meta Financial Group, Inc.",40.75,0.0,0.0,323482,1196623017,334742.0,41.2
BENE,17.20625,0.0,1620.625,22,Benessere Capital Acquisition Corp.,10.33,-0.01,-0.00097,222193,110878291,82707.0,10.33
NAT,23.02619047619048,1.3531249999999995,1601.7046079401748,23,Nordic American Tankers Limited,1.86,0.0,0.0,5492527,359834086,5442619.0,1.96
WEAT,5.625358382936496,0.33428264208910097,1582.8149818910106,24,Teucrium Wheat,8.3,0.05,0.00606,2292105,386306283,3362455.0,8.26
ECEZ,14.999999999999991,0.0,1399.999999999999,25,Ecosciences Inc,0.0001,0.0,0.0,38712391,2506174,19765810.0,0.0001
ITP,13.749999999999996,0.0,1274.9999999999995,26,"IT Tech Packaging, Inc.",0.12,0.0019,0.01609,2759090,11697793,1343502.0,0.1214
MFC.TO,13.33333333333333,0.0,1233.333333333333,27,Manulife Financial Corporation,22.05,-0.18,-0.0081,3781843,42299794297,5896447.0,22.23
AEM.TO,12.749999999999995,0.0,1174.9999999999995,28,Agnico Eagle Mines Limited,58.99,-0.37,-0.00623,1115137,26891084833,934839.0,59.36
SY,12.522222222222235,0.0,1152.2222222222235,29,So-Young International Inc.,0.906,-0.016,-0.01735,560204,80866070,398385.0,0.922
AEI,30.46875,2.8512500000000163,968.610258658477,30,Alset EHome International Inc,0.28,0.002,0.00719,919843,31466236,1222154.0,0.2801
ACXP,10.000000000000009,0.0,900.0000000000009,31,"Acurx Pharmaceuticals, Inc.",3.62,0.1099999,0.031339002,30576,36485683,26405.0,3.51
GALP.LS,10.000000000000009,0.0,900.0000000000009,32,"Galp Energia, SGPS, S.A.",9.85,-0.3399992,-0.033365969999999995,5004759,9059567616,,10.19
MVST,18.837037037037053,2.193333333333336,758.8314758527521,33,"Microvast Holdings, Inc.",2.19,-0.02,-0.00905,931577,668610394,1126044.0,2.24
AQST,8.148148148148149,0.0,714.8148148148149,34,"Aquestive Therapeutics, Inc.",0.73,0.002,0.00275,305085,32242584,456737.0,0.72
