ticker,sentiment change percent,price change percent
FM.TO,-17094.357142855843,0.0012285294
SA,-8365.337616794985,0.037811689999999995
WCN.TO,-2600.0,0.013095213999999999
IMG.TO,-2247.654320987654,0.019323654
CAE.TO,-1605.5555555555557,0.0044136602
ACWV,-1082.956797463338,0.013439118000000002
MG.TO,-902.9761904761892,-0.006083762
ACY,-877.9932432432474,-0.0466926
TECK-B.TO,-600.0000000000005,-0.02921752
TD.TO,-536.7460317460315,-0.0050941866999999995
WBEV,-411.21004441033085,-0.045161246999999995
WEED.TO,-302.9740712074289,-0.005464476
BHC.TO,-254.88076923076912,0.006970242
SNC.TO,-227.5294117647058,-0.0027100030000000003
AC.TO,-217.2405851040566,0.008728141
LAC.TO,-190.42461005199303,-0.0057847905
T-C,-164.31159420289868,0.0
CCO.TO,-159.60489181561616,0.030672579999999998
FMBI,-158.33333333333334,0.027711415000000003
COCP,-148.39453238567356,-0.03658533
AEHL,-141.8804210857727,0.056176443
FSV.TO,-126.33667831773595,0.004995509
IMRN,-107.08742720324622,0.008968601
GGD.TO,-105.5831089444433,0.03414631
CNQ.TO,-102.98229696607389,0.043516006
TRP.TO,-100.0,0.0047990355
MRU.TO,-100.0,0.008973842
H.TO,-100.0,0.0008667662
BMO.TO,-100.0,0.008644367
S.TO,-100.0,0.048780513
VACQ,-100.0,0.045167117
AAB.TO,-100.0,0.0
GIL.TO,-100.0,-0.0032388377000000003
GRA,-99.63297446392032,0.0
CM.TO,-97.23333333333348,0.0015997808
AEM.TO,-92.70808078924307,0.039884632
IMMR,-90.62463149991004,0.0037453148000000003
JPHY,-89.14814814814811,0.00823374
AHI,-86.19156202565841,-0.017241362
AQN.TO,-85.82906414740596,0.009537626
NUZE,-85.21873018748298,0.029702942
AGS,-84.2107983453838,0.0271319
ENB.TO,-83.28346253080986,0.0032192647
PPL.TO,-82.47996962794963,0.009450556
TRT,-78.07613907656771,-0.03
ADOC,-74.01770969715437,-0.0009794544
MTEX,-73.03779857882132,-0.0014053665
DAVE,-72.78106712957953,0.0026155198
PACE,-72.66547227422096,0.0
CVE.TO,-71.06995866593525,0.008574969
GMDA,-70.13251335435451,-0.016949136
NA.TO,-69.7768910226434,0.0091156226
WEAT,-68.59169493420569,-0.045354
BAB,-68.57962892637374,0.003246759
DOL.TO,-67.6936078672403,0.015650242999999998
MSTR,-67.43734218561775,0.015033482
PIK,-67.3925982393943,0.14393934
CHEK,-65.3229776452648,0.012945011
RY.TO,-64.4661070493727,0.007220807700000001
D-UN.TO,-64.06743415003233,-0.0015479246999999998
IUSB,-61.306381997298274,0.008253044499999999
ASTI,-59.782530376969234,-0.034782577
GPS,-57.22552724787886,0.0303398
ACM,-56.583898682317034,0.00567303
TIVC,-55.79232052209717,-0.015384660999999999
VRPX,-55.210724177236095,-0.011904751
VIAC,-54.46777212430598,-0.17810507
HOTH,-53.01636857882948,-0.010019111999999998
CASH,-51.80508200244057,0.050426710000000007
EMB,-51.730484988896606,0.014019732
YANG,-50.60570192083953,-0.0036529600000000002
LIXT,-50.238035364986345,-0.038305704999999995
JMIA,-48.36738525322779,0.023102288
ECEZ,-48.12576389772136,0.0
ISPC,-47.75583646463403,0.02752291
SNAX,-46.78413284173863,-0.0007947286000000001
GBT,-46.64323373133388,0.02660402
RIG,-45.98713077949268,0.0
