ticker,sentiment change percent,price change percent
GBT,-5744.318234793122,0.02660402
WERN,-5117.599999999855,0.012236427999999999
ALEX,-3986.8260869565765,0.011142
GAB,-1773.8989475784224,0.016393427000000002
VINE,-1563.35198506677,0.0376344
CGEN,-1253.3372025536848,0.037837799
YCBD,-1184.356223175966,-0.023171300000000002
AEM.TO,-1099.9999999999998,0.039884632
PIK,-920.0859473714069,0.14393934
THMO,-847.0890764558069,-0.13048211
IMO.TO,-831.7073170731637,0.011865543999999999
AHI,-824.7864889193668,-0.017241362
DRCT,-724.7518736736007,-0.007751931
AQN.TO,-657.9851851851842,0.009537626
UA,-606.8890139461728,0.011873400000000001
AEHL,-517.7325956706145,0.056176443
CHEK,-473.76160772248636,0.012945011
HNDL,-472.60273972602766,0.017961111999999998
GMDA,-472.4178062263604,-0.016949136
KALV,-395.7746478873238,0.006097506999999999
IMRN,-387.06250000000017,0.008968601
MRAI,-360.8948849849559,0.023784904
CVE.TO,-312.99375456241376,0.008574969
PPD,-266.6666666666672,0.0
CCO.TO,-249.99999999999991,0.030672579999999998
WSBC,-233.20000000000007,0.017029358
SU.TO,-224.09218017583052,0.018600534
APVO,-221.97907690194722,0.0
VRPX,-203.05637926968413,-0.011904751
RIG,-202.96055157326785,0.0
IMMR,-202.122448979592,0.0037453148000000003
TRT,-199.85207100591705,-0.03
AGS,-193.18470373088192,0.0271319
YANG,-173.92772640540116,-0.0036529600000000002
PLAG,-166.6666666666666,0.007215549999999999
JPHY,-162.09999999999997,0.00823374
VIAC,-148.80058307190174,-0.17810507
WEED.TO,-142.6737675815923,-0.005464476
STM,-141.52409806295287,-0.034000628000000005
MTEX,-132.07029104887425,-0.0014053665
ISPC,-124.79338842975203,0.02752291
PACE,-124.28628072957977,0.0
AQST,-121.95172417452014,-0.015317312000000001
DAVE,-119.71106818857615,0.0026155198
CMPI,-119.67213114754098,0.0
SI,-117.80108329360961,-0.00915371
NTRB,-111.83806566874233,-0.0072993207000000004
JMIA,-108.76167460318634,0.023102288
SHOP.TO,-108.21465428276566,0.0029835635
JPM,-102.3272487623027,0.0127875
LSTR,-100.81213096102162,0.010246221
ACM,-100.0,0.00567303
TRP.TO,-100.0,0.0047990355
WBEV,-100.0,-0.045161246999999995
RUSL,-100.0,0.0
ACWV,-100.0,0.013439118000000002
VACQ,-100.0,0.045167117
ECEZ,-100.0,0.0
NUZE,-100.0,0.029702942
AAB.TO,-100.0,0.0
LKNCY,-99.83009117157076,0.029268265
BUD,-98.59390519028256,0.02094534
ACY,-95.95081989193248,-0.0466926
G,-94.72981258823646,0.01322
CVNA,-92.66898386024852,-0.0314437
COCP,-92.17087505559405,-0.03658533
ENB.TO,-89.12398921832887,0.0032192647
SNGX,-85.40230745674569,-0.032000043
BHIL,-84.37581809059634,-0.029197099999999997
AC.TO,-83.72225471785246,0.008728141
HGEN,-82.81185638233163,-0.07344632599999999
POW.TO,-80.37142857142865,0.0051329106
R,-80.32146406973914,0.014494777
ACH,-80.27589936675317,0.00315455
METX,-79.18214087194299,-0.014285702
BFRI,-78.2495609880568,-0.032258098
EMB,-73.72149616560876,0.014019732
SNAX,-73.52320669492272,-0.0007947286000000001
THCA,-72.80541807762448,-0.0009671401
CSIQ,-71.27507623046763,-0.0006422142
GREE,-71.11367850567859,0.0078740084
KTRA,-70.85073247582064,-0.08273382
AAV.TO,-67.2552166934188,0.08624994
MVST,-67.05810430866275,0.0
MU,-65.3621799766424,-0.029486203
EVBG,-64.55586789049057,0.038723555
SLAB,-63.426451022664,-0.08436743
STEM,-62.9937796571121,-0.0013966100000000002
ELOX,-61.87639916121175,-0.063248515
CPRI,-61.83976085446452,0.00536458
AMRN,-59.97637799472344,-0.033557017
SLI,-58.379570199731745,0.0
BNS.TO,-58.2230121574699,-0.016474104
GOEV,-58.09245460060529,0.016216199
IBIO,-58.01292527668151,-0.0151515
MSTR,-57.74822838680498,0.015033482
MGA,-57.1240587629822,0.016211299999999998
GFAI,-55.67987905147981,-0.0070453423
CM.TO,-55.16666666666828,0.0015997808
ACCO,-54.58170561916216,0.00612557
A,-54.36817692826361,0.005482469
SA,-54.077461951715456,0.037811689999999995
PEP,-51.666271535548226,0.016380627999999998
ACXP,-50.0,-0.010554079999999999
CNQ.TO,-48.989084790437445,0.043516006
