ticker,sentiment change percent,price change percent
MSTR,-34635.978066166885,0.015033482
SEV,-3809.090909090915,0.0
BITF,-1698.6176493122734,-0.017857125
BMO,-1578.0151780502058,0.0083186346
NRXP,-1323.1633903361553,-0.063333406
ELOX,-1116.7850225952266,-0.063248515
CMPI,-1099.9999999999998,0.0
DADA,-806.4166666666658,0.07028368
PLAG,-766.6666666666665,0.007215549999999999
IMMR,-743.5714285714289,0.0037453148000000003
BNGO,-717.8829523245448,-0.028985479999999997
AGS,-655.5555555555549,0.0271319
PACE,-600.000000000002,0.0
CNQ.TO,-562.5542857142858,0.043516006
IMO.TO,-474.99999999999983,0.011865543999999999
JMIA,-390.42174442190657,0.023102288
JPM,-389.8965295922582,0.0127875
VIAC,-374.9999999999999,-0.17810507
DAVE,-320.58823529411814,0.0026155198
HCMC,-314.6006089654064,-0.5
HTBX,-301.42857142857144,0.00421949
WEED.TO,-274.9999999999999,-0.005464476
PPD,-266.6666666666672,0.0
LSTR,-233.92857142857144,0.010246221
SI,-211.49309256076876,-0.00915371
AHI,-209.53829021757758,-0.017241362
T.TO,-198.08930213548592,-0.0034879798000000003
CAPR,-192.99321924443,0.054441276
COCP,-190.16178411931588,-0.03658533
ISPC,-161.53846153846163,0.02752291
G,-155.58180452984516,0.01322
BHIL,-143.87878787878793,-0.029197099999999997
J,-132.33444525895547,-0.00574212
CVNA,-124.89913906242884,-0.0314437
ARRY,-122.1198156682034,0.0072661144
SLAB,-112.92935013450376,-0.08436743
IMRN,-104.31249999999999,0.008968601
AGQ,-104.0678859861956,-0.039640348
GOEV,-101.28387499455684,0.016216199
AAB.TO,-100.0,0.0
TRT,-100.0,-0.03
ACWV,-100.0,0.013439118000000002
IVOL,-100.0,0.0382794
ECEZ,-100.0,0.0
AQST,-100.0,-0.015317312000000001
GREE,-100.0,0.0078740084
FSV.TO,-100.0,0.004995509
WERN,-100.0,0.012236427999999999
MARPS,-100.0,-0.007999992000000001
STRN,-100.0,0.0
KZIA,-100.0,-0.0023866894999999997
SATL,-100.0,-0.02444991
PPSI,-100.0,0.024390304
MTEX,-100.0,-0.0014053665
POW.TO,-100.0,0.0051329106
KTRA,-100.0,-0.08273382
SNAX,-99.89678317724197,-0.0007947286000000001
YANG,-96.40634723086515,-0.0036529600000000002
BUD,-95.1321953985258,0.02094534
DOLE,-89.85325266669207,0.048463335
JAKK,-88.23969125930027,0.03554501
LKNCY,-87.4691358024692,0.029268265
ES,-87.34915466882346,0.031727242
EMB,-85.04375869039414,0.014019732
MGA,-84.77809334068073,0.016211299999999998
STZ,-84.28041860842215,0.010169033999999999
CB,-83.53843351540573,0.0068165445000000005
VLON,-82.35364545234756,-0.030795672
IMGN,-81.52127413588775,0.024444473
RIOT,-80.57323027676779,0.011933106
AAP,-74.09485584762143,0.00317756
GIII,-73.74113475177305,-0.010874904000000001
RA,-71.35354499880641,0.0016277145000000001
HITI,-70.86674628902918,0.020202003
M,-69.97684873061381,-0.019104799999999998
NUE,-69.27030499763308,0.0117804
JBLU,-68.0877135384121,0.019115872
CODX,-67.6016737937929,0.040998219999999995
PEP,-67.35741462992367,0.016380627999999998
BPOP,-66.66435169108966,0.019758178
E,-66.12188535391851,-0.0037799310000000003
TALK,-63.8695699668645,0.02352939
SKYH,-63.38181818181825,0.0176679
VAC,-62.485640436530666,0.035542199999999996
RETA,-62.19162146099667,0.0016453156999999999
BAB,-61.62499999999995,0.003246759
R,-60.735572951019414,0.014494777
B,-60.37343197501117,0.01316634
BFRI,-59.95340032037273,-0.032258098
ABG,-59.46527947845328,0.0232668
HA,-58.310837341710034,0.023759549999999997
DVN,-57.771955560575414,0.0
SENS,-55.06370140609575,-0.00970873
PACB,-54.73320359020537,0.011312151999999999
WWW,-53.9502301046586,-0.0109127
SESN,-53.184840926724874,-0.014190524
XPO,-52.54219671281399,-0.00020760600000000002
RIG,-52.26918649061645,0.0
ERIC,-51.884989157497486,0.0040540179999999995
