ticker,sentiment change percent,price change percent
SAVE,2541.6875845249588,0.0297818
DG,2016.4074913818108,0.00596189
DVAX,1835.933257543503,0.029388393999999998
MKD,1766.0538069027477,0.01051698
KOD,1695.866194349567,0.014397924
LSPD,1665.8626648121212,0.0183856
DDOG,1660.8248637946056,0.061003833
AVGO,1537.4252612838845,-0.016405593
CASA,1523.0918357744017,-0.0050890535
ZEN,1483.3507158725447,0.00594036
VAXX,1447.80465897828,0.11464964999999999
SIDU,1443.17135646866,-0.06060608
MNDY,1429.9154023590077,0.054575386000000004
BWAC,1424.7189153439167,0.0
ZOM,1400.6326142459513,-0.0558837
AGRX,1394.4232312923878,-0.4503004
ESSC,1374.0852298495156,-0.005355434
BMY,1373.1903793493207,-0.00207797
SKYH,1359.275515909988,0.0176679
JBLU,1358.5853265001813,0.019115872
PUGE,1356.6295957129282,0.0
BBI,1347.5101621033782,-0.22222225
VMW,1344.7586574954507,0.000701827
ARKF,1219.3826056151113,0.0232408
NCLH,1216.5987399118828,0.0188849
BBIO,1176.1057461515722,0.09251102
MPC,1171.1617034166056,0.0276123
BREZ,1166.394205209995,0.0
ARCH,1153.9360632663277,0.0049619600000000005
TGGI,1130.014745593875,0.0
KZIA,1124.547522438788,-0.0023866894999999997
CMPI,1117.6591372907897,0.0
TQQQ,1117.5223267167378,0.016249975
HON,1101.945722202007,0.007479449500000001
RDBX,1100.5249608599079,-0.17432431999999998
STEM,1098.7947713593483,-0.0013966100000000002
CHPT,1097.992148069802,-0.07304602
CCL,1092.3893127937004,0.0196532
DVN,1091.6129715238367,0.0
CVX,1085.470675604794,0.011949099999999999
SOUN,1074.059407525685,-0.033582146
ARRY,1069.632449039768,0.0072661144
JNJ,1069.1177598920156,0.011323399999999999
ARDX,1060.466021524811,0.006950271
CAPR,1056.0928313398056,0.054441276
PYPL,1038.8564114886024,0.022336844999999998
KWEB,1031.6481628108231,0.0128206
MDT,1030.5136774638559,0.0181615
TBLT,1020.7422303128789,-0.12107622
THCA,1003.2305427547362,-0.0009671401
XOM,988.4128002969495,0.022302699999999998
STSS,980.8191610392548,0.0859047
DARE,966.2520690978394,-0.032520294
ZYME,955.8630151176728,0.045283
NLST,923.1116881121816,0.028124973999999997
RCL,917.1725464721003,0.0108852
CCJ,906.4026702664797,0.038058999999999996
LULU,897.4445258307728,-0.033857822
SIGA,887.7492890693261,0.08894644
ITP,884.4184167889435,0.0117845
KTRA,883.6873789514922,-0.08273382
KSS,881.8961553536386,-0.196414
LOTZ,863.4541197279223,0.007878037
CTC-A.TO,857.4999999999999,0.018165101
VKIN,834.0559313224862,0.013157882999999999
TDOC,831.4210525675248,0.04878059999999999
DLTR,814.6040056930872,0.0026948872
HGEN,812.6891257453628,-0.07344632599999999
SATL,805.4187104819177,-0.02444991
GUSH,786.0785917833014,0.029414199999999998
AXSM,779.6747152469742,0.06109661
JMIA,757.7352126856886,0.023102288
AUPH,705.2134969205426,0.13333334
META,698.0396807749979,-0.007565899
IRNT,696.8427660901157,-0.045248933
ARKK,691.2252497103211,0.0336008
IMG.TO,683.5738407050499,0.019323654
ERYP,652.5013460193363,0.022831028
WCN.TO,651.8325919428592,0.013095213999999999
CVNA,608.3773492556755,-0.0314437
AMRN,523.3497002767452,-0.033557017
WEAT,482.7553206424363,-0.045354
XERS,451.95312473445665,-0.025974002
GMDA,396.15406482246493,-0.016949136
SAP.TO,341.56991850238035,-0.0003562604
DOL.TO,337.5815822740539,0.015650242999999998
RUSL,259.532613302871,0.0
FRTA,224.29327403461156,0.0
FUL,222.34173371965986,0.00531473
D-UN.TO,216.17679829375538,-0.0015479246999999998
AQN.TO,161.71440570920015,0.009537626
JAGX,158.66367640571588,0.048299326999999996
LIXT,138.5097388107956,-0.038305704999999995
KRYS,133.7085586551042,0.027566210999999997
IMMX,111.7344792327434,0.0
USEG,110.06451983340932,-0.0028901705
DOLE,102.10199331634917,0.048463335
PPL.TO,101.00780509197867,0.009450556
HTBX,100.31117953640347,0.00421949
XIC.TO,95.83333333333286,0.007997327
POST,92.29234830985611,0.0245295
RA,91.13072729087182,0.0016277145000000001
EH,90.34153662794435,-0.0032432145
FNV.TO,86.25817385566066,0.040042514999999994
CMG,79.05308183495772,-0.0003518511
ASHR,75.05506397656166,-0.00468247
AIHS,74.20909499284356,-0.08470586000000001
PPD,73.88869493348903,0.0
SLI,72.52819761454023,0.0
SRNE,70.54275323639642,0.0696518
RY.TO,66.79171910184753,0.007220807700000001
CVE.TO,64.00319158080936,0.008574969
MNTS,63.776113814694014,0.0
MFC.TO,61.886127496071055,0.016577098
BEKE,61.37622700328566,0.0
JETS,60.818246454760285,0.02
ASTR,59.999663941391375,0.023076994000000003
ADUS,59.71877486511481,0.016090347
AFYA,59.556591665905835,-0.0020100003
SST,58.70897645753581,0.024390299999999997
GPS,58.4216617928415,0.0303398
SDC,58.10298048973932,0.038461618
OCUP,55.95283254126002,-0.015624986
BCYC,55.555622089748645,0.04231222
SBEA,55.51282644343538,0.0
ACM,53.67534029747447,0.00567303
PETV,51.354733141411636,0.15189875
NKE,51.092204297174625,-0.0099804
FMHI,50.58092132083154,0.005578347
CAR,49.4749266589714,0.026040260000000003
TIGR,48.83693347810123,-0.0042462805
PCOR,47.78673163846416,0.0149813
SAIL,46.2205507018663,0.0059029799999999995
UAMM,44.53921752123187,-0.0381
XOP,43.361063013126476,0.012052199999999999
MBRX,43.049932465580575,0.013793089000000001
CP.TO,42.13770577435789,0.02257812
EMB,42.104413084772,0.014019732
ES,41.91298618454851,0.031727242
POWI,41.77596517320274,-0.065191298
WKHS,41.47153832795772,0.0
ISPO,40.79042510803825,0.0431965
GOOS,40.73232234414339,-0.021099448
NAD,40.100956902047336,0.0152365
FR,40.09091125414859,0.021272199999999998
CAN,39.861541828445056,0.0031055870000000004
B,39.72324352191099,0.01316634
BIIB,39.46906354901276,0.032803779
MGA,38.88424056270283,0.016211299999999998
GGD.TO,38.33720295097272,0.03414631
EL,36.54854187618459,0.007264270000000001
TA.TO,36.50793650793651,0.015656945
J,36.479976772130996,-0.00574212
AHI,36.45188205921972,-0.017241362
IUSB,35.31282459033223,0.008253044499999999
APLE,35.24145635715576,0.0116279
VERU,34.280036277479866,-0.008849591
ABG,34.135040183330844,0.0232668
ESLOY,33.333333333333194,0.011225395
NOVN,32.61149470110736,-0.012875525
GRBK,32.38607473109043,0.0521206
CELH,31.980555305920213,0.010726279
GILD,31.127077404590796,0.0088982236
XELA,31.069295324459635,0.0034964975999999997
XSPA,30.988930314866224,0.011440984000000001
BCE.TO,30.73343319906463,0.0037932329999999996
AFMD,30.171326025562607,0.01444042
AAV.TO,30.09075136368193,0.08624994
RKT,29.859599863811614,0.0339674
QS,29.598652300553006,0.00931315
HYMC,29.477001244491706,-0.018018
ABCB,28.417271887086805,0.016426079
VLON,28.248505066646246,-0.030795672
NICE,27.947107612193033,0.0038971162
RIBT,27.801138408294214,-0.15417915000000001
TS,27.544544870323783,-0.007006630000000001
V,26.833168897197048,0.011630799999999998
BCE,25.93477492501055,0.0136234
MRO,25.9225806911495,0.0031138700000000004
IJR,25.61769192578105,0.009414510000000001
CODX,25.22288421150105,0.040998219999999995
CUBV,25.0683556644794,0.0
ABX.TO,24.9939344956158,0.038005261
ALKM,24.832111964153736,0.0
GIII,24.731014653675754,-0.010874904000000001
BTAI,24.105579074529658,0.08106066
FCEL,24.06154946218475,0.007999992000000001
IMGN,23.998291330940248,0.024444473
CMMB,23.99249200857072,-0.10270272999999999
ROKU,23.720546147904663,0.021548626
BPOP,23.279144878879322,0.019758178
ECEZ,23.004014991354428,0.0
HNDL,22.664584944543265,0.017961111999999998
TIVC,22.091754027571085,-0.015384660999999999
FTS,21.938361743813495,0.017981775
BYSI,21.77473314185241,0.08333325
BABA,21.151230452626812,0.0204082
HUSA,20.985601161029166,-0.00653599
RETA,20.933557655823808,0.0016453156999999999
LGVN,20.233094498133063,0.0016863792999999999
